nft_number,name,character,movie_tv,description,image,cafe_link,display_label,nft_rec_id,suggest_edit_url,Quotes,Suggested_Edits
1,Robert DeNiro,"Sam ""Ace"" Rothstein",Casino,"A sharp Las Vegas casino operator from Casino, known for his gambling genius, discipline, and rise in the mob-run gaming world.",1_batch_1.svg (https://cdn.xrp.cafe/afc00908d01b-40b8-b6f4-058f5b6a28ca021925ceb96a-4fcd-9d5a-9b42bb6717db2bee7ab46c82-4f0c-a084-f9c285deff53.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A60B2E73EC05DE4951,"NFT #1 — Robert DeNiro as Sam ""Ace"" Rothstein (Casino)",recvOYRZ33GACKlTq,/suggest-edit?nft_number=1,"""When you love someone, you've gotta trust them. There's no other way. You've got to give them the key to everything that's yours. Otherwise, what's the point?"",""There are three ways of doing things around here: the right way, the wrong way, and the way that I do it. You understand?""","Edit for NFT #1 — 32_LJ_member (Approved),Edit for NFT #1 — 32_LJ_member (Approved)"
2,Al Pacino,Tony Montana,Scarface,"Tony Montana, the protagonist of Scarface, known for his relentless ambition, fearless rise from nothing, and refusal to back down from anyone.
",2_batch_1.svg (https://cdn.xrp.cafe/4bf5ea70d41e-448d-bf7f-5c41d3c229371d329de4baa2-4390-af39-cea07d9e2d25f411958bc31c-4527-88ff-bb06da5c76da.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6221444ED05DE4952,NFT #2 — Al Pacino as Tony Montana (Scarface),reciHZENG7JOIRuuK,/suggest-edit?nft_number=2,"""I'm Tony Montana! You fuck with me, you fucking with the best!
""",
3,Al Pacino,Michael Corleone,The Godfather,"The central figure of The Godfather, known for his transformation from reluctant outsider to ruthless mafia boss.",3_batch_1.svg (https://cdn.xrp.cafe/f0f49c0e992d-444d-a1c9-495e37b06a7983a7c43afa0d-4f3e-aaa3-7f5b73fcaa479af89de19473-4ecf-86f1-1e1a87aa387a.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A638FA15EE05DE4953,NFT #3 — Al Pacino  as Michael Corleone (The Godfather),recYC78hC6ROammB5,/suggest-edit?nft_number=3,"""He taught me, keep your friends close, but your enemies closer""",
4,James Gandolfini,Tony Sorprano,The Sopranos,"A complex mob boss from The Sopranos, known for balancing ruthless crime leadership with personal struggles and therapy sessions.",4_batch_1.svg (https://cdn.xrp.cafe/acc4dda8829b-413f-a3c7-c35ebca85b0cc12f16927085-4177-8d05-e8cf8d0f3d0518e3c260fe19-4cfa-b679-d5dabe90c3e9.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A64FDFE6EF05DE4954,NFT #4 — James Gandolfini as Tony Sorprano (The Sopranos),recemRBqhWlplLU8Y,/suggest-edit?nft_number=4,"""Those who want respect, give respect.""",
5,Frank Sinatra,,,"Frank Sinatra, legendary singer and actor, known for his smooth voice, timeless hits, and influence as one of the greatest entertainers of the 20th century.",5_batch_1.svg (https://cdn.xrp.cafe/9ca1cd99d15f-4bf6-8263-1dc0c8253c8bc64f1cb4b670-44de-9b94-2d35e9901e21fbefd1a78aa2-4e23-9823-8084ac4653f5.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A666C5B7F005DE4955,NFT #5 — Frank Sinatra,recLn50gbfxoAUzBF,/suggest-edit?nft_number=5,The best revenge is massive success.,
6,Ronald Reagan,,,"The 40th President of the United States, who reshaped U.S. politics and helped end the Cold War.",6_batch_1.svg (https://cdn.xrp.cafe/753bb8a2c4fa-426e-a2ff-3f946f6be4b3e95889e7721f-42dd-8e98-de59ee99a452e9838df7bc52-418a-bdbc-8e2442c43863.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A67DAB88F105DE4956,NFT #6 — Ronald Reagan,recfaxaZq0Nyf8n2t,/suggest-edit?nft_number=6,"""""""My philosophy of life is that if we make up our mind what we are going to make of our lives, then work hard toward that goal, we never lose - somehow we win out"""".""",
7,Marilyn Monroe,,,"Hollywood icon whose beauty, talent, and vulnerability made her a timeless legend.",7_batch_1.svg (https://cdn.xrp.cafe/31abda6025e4-4a07-bce0-33b21cb8c6e058298c7e411f-4ea0-a8c9-4be597173444b4b6a7f5cd88-4293-8135-514d40f3a98e.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6949159F205DE4957,NFT #7 — Marilyn Monroe,reckQ2Xsq1Yq6Sg7P,/suggest-edit?nft_number=7,"""""""If I'd observed all the rules, I'd never have got anywhere.""""""",
8,Leonardo DiCaprio,Jack Dawson,Titanic,"
Free-spirited artist whose love and sacrifice made him an unforgettable hero of Titanic",8_batch_1.svg (https://cdn.xrp.cafe/af61255fd27f-481b-baef-4d3b61c5f5b4593d60f79f2b-4d99-afa2-99879a1843d856ac62be3174-46ce-a9d5-b65bdb207cc5.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6AB772AF305DE4958,NFT #8 — Leonardo DiCaprio as Jack Dawson (Titanic),recvgtRjNE9gL1MZs,/suggest-edit?nft_number=8,"""""""Life's a gift. I don't intend on wasting it.""""""",
9,Cillian Murphy,Thomas Shelby,Peaky Blinders,"
A brilliant yet ruthless leader who built an empire while battling inner demons in Peaky Blinders.",9_batch_1.svg (https://cdn.xrp.cafe/2942a01c5229-4b2f-b305-8384626ced8ebe15ee5b7839-43ab-959d-f29d43d3ed915a56d0d51b38-4d12-90c9-8159509942f1.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6C25CFBF405DE4959,NFT #9 — Cillian Murphy as Thomas Shelby (Peaky Blinders),recfXBEZxEASNMEbd,/suggest-edit?nft_number=9,"I'm not a traitor to my class. I'm just an extreme example of what a working man can achieve,""My suits are on the house, or the house burns down.""",
10,Al Pacino,Tony Montana,Scarface,"
Tony Montana, the protagonist of Scarface, known for his relentless ambition, fearless rise from nothing, and refusal to back down from anyone.",10_batch_1.svg (https://cdn.xrp.cafe/c68a186955fc-40fd-9b40-f115ee521121db4d8bee2c81-4e0d-8d43-1a2b34b7441aa09a75ca5a6c-4060-b796-7f6d7d707bda.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6D942CCF505DE495A,NFT #10 — Al Pacino as Tony Montana (Scarface),recFuLmFvYTve04zZ,/suggest-edit?nft_number=10,"""""""I always tell the truth. Even when I lie.""""""",
11,Matthew McConaughey,,,"Academy Award–winning actor, known for his Southern charm, versatile roles, and the famous ""alright, alright, alright.""",11_batch_1.svg (https://cdn.xrp.cafe/138365d0671e-4372-a820-423077aaf31c4bc17a16d71a-4b9f-abc1-99a31abef5a6ec02d12ea313-4a40-993c-8d9544868416.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6F0289DF605DE495B,NFT #11 — Matthew McConaughey,recVFIF6fyJN6Afqw,/suggest-edit?nft_number=11,"""The first step that leads to our identity in life is usually not 'I know who I am,' but rather 'I know who I'm not'""",
12,Waylon Jennings,,,"A country music legend, knouwn for his outlaw style, deep voice, and role in reshaping Nashville’s sound.",12_batch_1.svg (https://cdn.xrp.cafe/129b90e12ead-4239-84ce-aa29d7a49b551eed5adebc18-4ccc-811e-274eac7308f31f165682bad3-4618-ba6a-cd0293d4aef3.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6070E6EF705DE495C,NFT #12 — Waylon Jennings,rec80bsHajOLQZ8KU,/suggest-edit?nft_number=12,"""There's always one more way to do things and that's your way, and you have a right to try it at least once""",
13,,,,,13_batch_1.svg (https://cdn.xrp.cafe/411e0206b62b-4cb5-83a8-865ae6d64c5fe64641cd3ff7-4cf9-bb68-9ed84fef09e34e07025d0164-47d4-a437-6c1e1f673540.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A61DF43FF805DE495D,NFT #13,recg4Xrbp51MaHJR4,/suggest-edit?nft_number=13,,
14,,,,,14_batch_1.svg (https://cdn.xrp.cafe/50dddf02b2ba-4408-aa5e-e2e66b0b033f0e9e5dbd2c9a-4a05-94d8-1fe26783a4565769df608ca7-4310-8e4a-cb9e8f551fda.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A634DA10F905DE495E,NFT #14,recYRbTnmx2QMG8ks,/suggest-edit?nft_number=14,,
15,Teflon,,,,15_batch_1.svg (https://cdn.xrp.cafe/e4939db8c6db-4f23-a14f-3c74029f32c4af0736109048-4eb2-8945-5e949d11d00cf06073aab260-44d5-9020-eef82f20c736.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A64BBFE1FA05DE495F,NFT #15 — Teflon,recnPYX3GYt5rdPgg,/suggest-edit?nft_number=15,,
16,,,,,16_batch_1.svg (https://cdn.xrp.cafe/b8a92950c7ab-4c81-89fb-d0f8d7f579a4a9f5adb21f0c-409a-aa39-1892baf4bc44ad7dd82a6506-44ee-97eb-4e56fa11ccae.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A662A5B2FB05DE4960,NFT #16,reczNMvUDwugXUuXV,/suggest-edit?nft_number=16,,
17,Zach Galifianakis,Alan,The Hangover,"Zach Galifianakis, comedian and actor, known for his offbeat humor, stand-up style, and breakout role in The Hangover films.",17_batch_1.svg (https://cdn.xrp.cafe/fe3f0bceed17-43c8-b7bf-c5db7e8dc7c29da2c6e3e3d5-420d-9400-04c2128618546fb23b8ef0d2-4fe4-81a0-3ccf181bb1d5.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6798B83FC05DE4961,NFT #17 — Zach Galifianakis as Alan (The Hangover),recgPIYhe9RdNJiO8,/suggest-edit?nft_number=17,The hardest thing about being famous is that people are always nice to you.,
18,Denzel Washington,Frank Lucas,American Gangster,"
A notorious Harlem drug lord, known for building a heroin empire in the 1970s and inspiring the film American Gangster.",18_batch_1.svg (https://cdn.xrp.cafe/99b78155b3fa-44a4-99ae-1243ce5c2d65e149b0f2bc68-49c6-a5a4-abef94c84e3aa98dd282ae54-4558-b2b7-cd81fd57148a.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6907154FD05DE4962,NFT #18 — Denzel Washington as Frank Lucas (American Gangster),recX66xTq2IAjZcYB,/suggest-edit?nft_number=18,"""See, ya are what ya are in this world. That's either one of two things: Either you're somebody, or you ain't nobody.""",
19,,,,,19_batch_1.svg (https://cdn.xrp.cafe/d7e54030fdc1-42ef-85cd-b84e45c61eb17e3d5d36726d-4e1c-98a5-a1f5c48e652b9559d89d85a6-4b4e-8608-671299482eaf.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6A75725FE05DE4963,NFT #19,recCL5gSNN9tObsFZ,/suggest-edit?nft_number=19,,
20,Lawrence Fishburn,Morpheus,The Matrix,"
Morpheus, the wise mentor from The Matrix, known for guiding Neo and delivering iconic truths about reality.",20_batch_1.svg (https://cdn.xrp.cafe/1e5599589fcd-4ee9-aa24-bf072c3f257476fc14858502-4d3f-88d4-e9ca7be3db6035b453f99714-4379-a738-019f80b75e0c.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6BE3CF6FF05DE4964,NFT #20 — Lawrence Fishburn as Morpheus (The Matrix),recql3P6EX4OcH0WT,/suggest-edit?nft_number=20,What is real? How do you define 'real'?,
21,,,,,21_batch_1.svg (https://cdn.xrp.cafe/cfdcf41a3b3c-49d0-ace0-27fc5f738b80363824d6cb80-4dad-bb0d-059b3ede004bcd8b3340cc38-45b6-bb0e-cbf13c1f5311.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6D522C80005DE4965,NFT #21,recwLbiof9KqlG3QE,/suggest-edit?nft_number=21,,
22,Albert Einstein,,,"Legendary physicist, known for developing the theory of relativity and reshaping our understanding of space, time, and energy.",22_batch_1.svg (https://cdn.xrp.cafe/0f782a438200-4c79-b3a3-077dd88bde15f7826cd41f48-40f1-b7ec-11740a593d87904c57138341-417e-b247-677e71fd0e58.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6EC08990105DE4966,NFT #22 — Albert Einstein,recw07qhGEkXmgmUU,/suggest-edit?nft_number=22,Logic will get you from A to B. Imagination will take you everywhere.,
23,Horus,Son of Osiris & Isis,,"
Son of Osiris and Isis in Egyptian mythology, known as the falcon-headed god of kingship, protection, and the triumph over chaos.",23_batch_1.svg (https://cdn.xrp.cafe/e7c2794f39e4-4021-8f7c-ba04204ab8dc51c53886922a-4c93-bcd2-1e6220d0f1896100dff29c6e-4041-ae07-151e3a9a9266.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A602EE6A0205DE4967,NFT #23 — Horus as Son of Osiris & Isis,recLovuJwPu60lM2M,/suggest-edit?nft_number=23,What was once mine shall be mine again. Is there anyone who would challenge me?,
24,,,,,24_batch_1.svg (https://cdn.xrp.cafe/e90c37800a7c-47fd-8815-553df11a1cb1684d5cd366e7-4ac4-b157-94d4c9a15857bf56b00fa8e0-4dce-818c-fa718e5e6004.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A619D43B0305DE4968,NFT #24,reco57DeB0Q3cmfno,/suggest-edit?nft_number=24,,
25,Brad Pitt,Tyler Durden,Fight Club,,25_batch_1.svg (https://cdn.xrp.cafe/a31bd3b80415-4285-bb5e-69d092c1cfb2171dbdf3192c-430f-8e27-1755a4ba9e1dc2c5efb13cd3-47e5-8bd1-1df1573305ac.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A630BA0C0405DE4969,NFT #25 — Brad Pitt as Tyler Durden (Fight Club),recBk8B73Uz6j0S5g,/suggest-edit?nft_number=25,,
26,Bruce Lee,,,,26_batch_1.svg (https://cdn.xrp.cafe/54dda7b79e21-4179-955a-5022f35852974a888aa1bc0f-40d8-b8c8-45e5df3ef27ccf68c547992f-4d57-af7c-68025d5fdcd5.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6479FDD0505DE496A,NFT #26 — Bruce Lee,rec4daGcqZhGSZ7IJ,/suggest-edit?nft_number=26,,
27,Daniel Craig,,,,27_batch_1.svg (https://cdn.xrp.cafe/eefe2291634b-4f2c-9f50-c54baa1d3eba84a020fbf232-4426-b830-fa25be64671dec2eb3acc210-455a-9d87-15350f111c6f.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A65E85AE0605DE496B,NFT #27 — Daniel Craig,recZ3r5RmaLATXKiF,/suggest-edit?nft_number=27,,
28,Michael Jackson,,,"The “King of Pop,” known for his groundbreaking music, iconic dance moves, and global influence on entertainment",28_batch_1.svg (https://cdn.xrp.cafe/a57abbd09b93-4814-831b-245c5a196f571d93143f49a4-4d5b-964a-3f912a29dd3ace4660377701-4a87-aee2-c9670d4dd5da.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6756B7F0705DE496C,NFT #28 — Michael Jackson,rec9p219LnvjBeErY,/suggest-edit?nft_number=28,"""In a world filled with hate, we must still dare to hope.""",
29,Killua Zoldich,From Hunter x Hunter,,A skilled young assassin who blends deadly talent with loyalty and a sharp wit.,29_batch_1.svg (https://cdn.xrp.cafe/daa1783bab06-4c55-920f-0b94cf8a73a125b03d02fd56-424e-919e-ddbdead14108609f0aa0a75f-4fb3-b8d3-871c455af415.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A68C51500805DE496D,NFT #29 — Killua Zoldich as From Hunter x Hunter,recw9i4CGWv9sx9BS,/suggest-edit?nft_number=29,"""When I say it doesn't hurt me, that means I can bear it.""",
30,Snoop Dogg,,,"Iconic rapper and entertainer, known for his laid-back style, West Coast hip-hop influence, and enduring pop culture presence.",30_batch_1.svg (https://cdn.xrp.cafe/d412fb93eb93-439b-be99-424323f568a6a32b7cf70384-468e-8a69-50496d3f4475575d9a6ddad1-4994-a75d-b57d73db00e2.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6A337210905DE496E,NFT #30 — Snoop Dogg,recg80yqSouQ3aqJM,/suggest-edit?nft_number=30,"""If it's flipping hamburgers at McDonald's, be the best hamburger flipper in the world.""",
31,Val Kilmer,Doc Holliday,Tombstone,"Legendary gunslinger and gambler of the Old West, known for his deadly skill, loyalty to Wyatt Earp, and role at the Gunfight at the O.K. Corral.",31_batch_1.svg (https://cdn.xrp.cafe/76b6cba1f62a-49a3-9e3d-03512d2e7babd86e44009817-44c3-a86b-554defa64d1c9d9eb4504b03-472f-b602-0e03364c2848.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6BA1CF20A05DE496F,NFT #31 — Val Kilmer as Doc Holliday (Tombstone),recOacoWpXuAZScRL,/suggest-edit?nft_number=31,"""I have two guns, one for each of ya""",
32,Manny Pacquiao,,,"Legendary boxer and Filipino icon, known for his explosive speed, world titles across eight weight divisions, and impact beyond the ring.",32_batch_1.svg (https://cdn.xrp.cafe/6c1838a0ab11-409f-a169-e558013380c142f85b0db3f9-4bfc-aa1d-3582fbc674e6fc790e507b32-448c-995f-9860e94827b3.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6D102C30B05DE4970,NFT #32 — Manny Pacquiao,recXWAPtlNA0lOyIy,/suggest-edit?nft_number=32,"""Life is meant to be a challenge, because challenges are what make you grow.""",
33,Mads Mikkelsen,Hannibal Lecter,Hannibal,The brilliant psychiatrist and cultured cannibal with a chilling intellect.,33_batch_1.svg (https://cdn.xrp.cafe/f164cd9a49f4-40a8-a9c9-2177ab0e3d586052123c7b72-42b1-aa7c-a9cf35ff0e26576b9df7c928-4a18-932e-c3a75ecb3774.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6E7E8940C05DE4971,NFT #33 — Mads Mikkelsen as Hannibal Lecter (Hannibal),recofWb7VAHfkyq7O,/suggest-edit?nft_number=33,I will either find a way or make one.,
34,$LOX,Live Off XRP,,,34_batch_1.svg (https://cdn.xrp.cafe/94994e8e5367-4d8a-8686-9ad008750a5d06c3b8596509-40aa-b37c-622c28bd8445b27e49e305a2-47ca-8b3e-3988e161e566.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6FECE650D05DE4972,NFT #34 — $LOX as Live Off XRP,reczx6R2ewstT3CT0,/suggest-edit?nft_number=34,,
35,Keanu Reaves,John Wick,John Wick,"The relentless hitman from the John Wick films, known for his unmatched combat skills, unbreakable will, and quest for vengeance.",35_batch_1.svg (https://cdn.xrp.cafe/e94604e26542-4699-abed-aee3cc85a37fbd9a62d5401f-4844-a552-43a5e8560c68e6972feeaf6f-43be-a186-1192a208caa1.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A615B4360E05DE4973,NFT #35 — Keanu Reaves as John Wick (John Wick),recva3qyyddVPSxRZ,/suggest-edit?nft_number=35,,
36,Victor Oshimen,Galatasaray S.K (football) Player,,"Nigerian football star, known for his explosive pace, clinical finishing, and role as a key striker for Napoli and the Super Eagles.
",36_batch_1.svg (https://cdn.xrp.cafe/4922594e5111-43f0-a510-7e0d4f459b1cf96853b167d9-463f-b8ec-1c0964d372cdda1a4378d2cb-46cf-a8c6-ca096c65599a.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A62C9A070F05DE4974,NFT #36 — Victor Oshimen as Galatasaray S.K (football) Player,recnHJ8un3eld7tRg,/suggest-edit?nft_number=36,,
37,Jalen Hurts,,,"Dynamic NFL quarterback, known for his dual-threat playmaking, leadership with the Philadelphia Eagles, and rapid rise as one of the league’s top young stars.",37_batch_1.svg (https://cdn.xrp.cafe/95dd4dba68ec-4d7b-a7e7-17a4f72bba390a3df0fbc21b-49fa-b3d6-e125c48f640094412f141eb1-4e9f-a32c-e7dfc6636cac.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6437FD81005DE4975,NFT #37 — Jalen Hurts,recUNMjM9Qkb2Nnow,/suggest-edit?nft_number=37,,
38,Kobe Bryant,,,"NBA legend, known for his “Mamba Mentality,” five championships with the Lakers, and relentless pursuit of greatness.",38_batch_1.svg (https://cdn.xrp.cafe/7c7abaaa20a5-4b4a-861f-d44abcb4c95b47d4a3375140-499e-a921-c7e35a49a6a37829789ba068-421c-8037-8378296e2477.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A65A65A91105DE4976,NFT #38 — Kobe Bryant,recbpLKOK8q5MEYFu,/suggest-edit?nft_number=38,,
